2020-04-17 18:28:25,518 | INFO: Params file loaded successfully. | __main__.utils.utils.py
2020-04-17 18:28:25,519 | INFO: AUTOSAVE: False | __main__.utils.utils.py
2020-04-17 18:28:25,519 | INFO: Paths initialized successfully. | __main__.utils.utils.py
2020-04-17 18:28:27,235 | INFO: Data loaded successfully. | __main__.py
2020-04-17 18:28:27,246 | INFO: Epochs: 100, lr: 0.001, batch_size: 64 | __main__.py
2020-04-17 18:30:05,083 | ERROR: No params.json file found at C:\Users\r3dta\Documents\Dev\woodhouse\aha5\aha5\experimments\pretrain\params.json.
 | __main__.utils.utils.py
2020-04-17 18:30:19,083 | INFO: Params file loaded successfully. | __main__.utils.utils.py
2020-04-17 18:30:19,083 | INFO: AUTOSAVE: False | __main__.utils.utils.py
2020-04-17 18:30:19,093 | INFO: Paths initialized successfully. | __main__.utils.utils.py
2020-04-17 18:30:20,491 | INFO: Data loaded successfully. | __main__.py
2020-04-17 18:30:20,492 | INFO: Epochs: 100, lr: 0.001, batch_size: 64 | __main__.py
2020-04-17 18:30:30,600 | INFO: Params file loaded successfully. | __main__.utils.utils.py
2020-04-17 18:30:30,601 | INFO: AUTOSAVE: False | __main__.utils.utils.py
2020-04-17 18:30:30,601 | INFO: Uploading to W&B | __main__.utils.utils.py
2020-04-17 18:30:30,601 | INFO: Paths initialized successfully. | __main__.utils.utils.py
2020-04-17 18:30:48,623 | INFO: Params file loaded successfully. | __main__.utils.utils.py
2020-04-17 18:30:48,623 | INFO: AUTOSAVE: False | __main__.utils.utils.py
2020-04-17 18:30:48,624 | INFO: Paths initialized successfully. | __main__.utils.utils.py
2020-04-17 18:30:50,410 | INFO: Data loaded successfully. | __main__.py
2020-04-17 18:30:50,413 | INFO: Epochs: 100, lr: 0.001, batch_size: 64 | __main__.py
